,mean_absolute_percentage_error,rmspe,p,d,q
0,0.0008435720133625,0.0009728157469287,2.0,1.0,4.0
0,0.0008435943876335,0.0009728243482503,1.0,1.0,4.0
0,0.0008437851728426,0.0009730659999662,3.0,1.0,4.0
0,0.0008438106806417,0.0009730967187977,4.0,1.0,3.0
0,0.0008438379986807,0.0009725261578188,1.0,1.0,2.0
1,0.0008438573354115,0.0009730714585149,2.0,1.0,3.0
1,0.0008438770347129,0.0009730931989539,3.0,1.0,3.0
1,0.0008439244560424,0.0009731572940717,1.0,1.0,3.0
2,0.0008441442664538,0.0009733602213205,1.0,1.0,1.0
0,0.0008442861138733,0.0009735624635106,2.0,1.0,1.0
0,0.0008449445946929,0.0009736739512594,6.0,1.0,7.0
2,0.0008449677732525,0.00097462933807,3.0,1.0,2.0
1,0.0008449677732525,0.00097462933807,6.0,1.0,3.0
2,0.0008449677732525,0.00097462933807,4.0,1.0,2.0
1,0.0008449677732525,0.00097462933807,4.0,1.0,1.0
1,0.0008449677732525,0.00097462933807,2.0,1.0,2.0
0,0.0008449677732525,0.00097462933807,5.0,1.0,1.0
1,0.0008449677732525,0.00097462933807,5.0,1.0,2.0
0,0.0008449677732525,0.00097462933807,7.0,1.0,7.0
0,0.0008449677732525,0.00097462933807,6.0,1.0,2.0
0,0.0008449677732525,0.00097462933807,7.0,1.0,1.0
2,0.0008449677732525,0.00097462933807,7.0,1.0,3.0
0,0.0008449677732525,0.00097462933807,3.0,1.0,1.0
1,0.0008449677732525,0.00097462933807,7.0,1.0,6.0
0,0.0008449677732525,0.00097462933807,7.0,1.0,4.0
1,0.0008449677732525,0.00097462933807,6.0,1.0,6.0
0,0.0008449677732525,0.00097462933807,6.0,1.0,1.0
1,0.0008449677732525,0.00097462933807,7.0,1.0,2.0
1,0.0008450823639142,0.0009749101663882,1.0,1.0,5.0
2,0.0008451601420142,0.0009749198130803,2.0,1.0,5.0
2,0.000845196905424,0.0009750080067363,1.0,1.0,6.0
1,0.0008452674710404,0.0009750426689568,2.0,1.0,6.0
2,0.0008453276230995,0.0009751011468816,1.0,1.0,7.0
2,0.0008453346454296,0.0009750997182488,2.0,1.0,7.0
0,0.0008454360969834,0.0009748369131612,4.0,1.0,4.0
2,0.0008454975868988,0.0009756420649831,7.0,1.0,5.0
0,0.0008455494064513,0.0009753630221495,5.0,1.0,4.0
2,0.0008455714879793,0.0009754213098823,6.0,1.0,4.0
1,0.0008456567735056,0.0009756083575912,3.0,1.0,7.0
0,0.0008456611474332,0.0009754395786696,3.0,1.0,5.0
1,0.0008456664161044,0.000975479173245,5.0,1.0,3.0
1,0.0008457653143422,0.0009755541720633,4.0,1.0,5.0
2,0.0008458050622854,0.0009756114116652,3.0,1.0,6.0
2,0.0008458179466756,0.0009756274702465,4.0,1.0,6.0
2,0.0008461560058974,0.0009763798522651,6.0,1.0,5.0
1,0.0008461752137768,0.0009762398447033,5.0,1.0,7.0
2,0.0008463016786728,0.0009761686825016,4.0,1.0,7.0
2,0.0008464855246078,0.0009768179835984,5.0,1.0,6.0
2,0.0008464996675178,0.0009765549421839,5.0,1.0,5.0
