,mean_absolute_percentage_error_sample,rmspe_sample,mean_absolute_percentage_error,rmspe,cnn_activatation,cnn_filters,cnn_kernel_size,cnn_pool_size,seq_len
0,0.17493063,0.19587408,0.221223952755734,0.2237906581371716,selu,4,2,3,30
1,0.1652142703533172,0.1889970600605011,0.2618509359855573,0.26420871036701,selu,8,2,3,30
2,0.1668587177991867,0.1911796480417251,0.2630157492272595,0.2654534942179737,relu,8,4,3,30
3,0.1713805049657821,0.1965388804674148,0.2717317499850141,0.2743835403520416,selu,4,8,3,30
4,0.1961338520050048,0.2127780318260193,0.2746188044938803,0.2769955669480244,relu,16,4,3,30
5,0.1815749406814575,0.2101774960756302,0.2770256937500038,0.2805085216460052,relu,16,2,3,30
6,0.1860206723213195,0.2048753350973129,0.2773121144871355,0.2796849258468333,selu,8,4,3,30
7,0.16721105575561523,0.19083011150360107,0.2779308712120627,0.2803495872290834,tanh,4,8,3,30
8,0.168939396739006,0.1923485994338989,0.2784157854736135,0.280828428800053,relu,4,8,3,30
9,0.1662087440490722,0.1896594315767288,0.2788618445422354,0.2812700521491365,tanh,4,2,3,30
10,0.1708805114030838,0.1947258859872818,0.2811434268068241,0.2835817858195151,selu,16,2,3,30
11,0.1733923554420471,0.1975741237401962,0.2830829040379368,0.2855255468097887,selu,16,4,3,30
12,0.1702718436717987,0.1937920600175857,0.2833341512269507,0.2857317791769042,selu,16,8,3,30
13,0.170264184474945,0.1937869936227798,0.2833350302311723,0.285730348826604,relu,4,4,3,30
14,0.1707485020160675,0.1944533586502075,0.2833495928377252,0.2857573184588856,selu,8,8,3,30
15,0.1707295924425125,0.1942264139652252,0.2835067855271959,0.2858937411993735,relu,4,2,3,30
16,0.1759015917778015,0.1988277435302734,0.2845919188438871,0.2870283421319315,tanh,4,4,3,30
17,0.1719198077917099,0.1960535198450088,0.2858928519666363,0.288363377392148,relu,8,2,3,30
18,0.1733941882848739,0.1968671977519989,0.2860000431207483,0.2884146320573937,selu,4,4,3,30
19,0.1749987006187439,0.1979340612888336,0.2922117159569525,0.2945980934680005,relu,16,8,3,30
20,0.1805697083473205,0.2043494284152984,0.2940421633102822,0.2964639995713042,relu,8,8,3,30
