,mean_absolute_percentage_error,rmspe,mean_absolute_percentage_error_sample,rmspe_sample,cnn_activatation,cnn_filters,cnn_kernel_size,cnn_pool_size,seq_len
0,0.01698744446039199,0.01915464848279953,0.02083697453477688,0.02111026237453349,tanh,8,8,2,120
1,0.01699352711439132,0.01920022219419479,0.021566367671510968,0.0218234983502104,relu,8,8,2,120
2,0.017493063,0.019587408,0.0221223952755734,0.02237906581371716,selu,4,2,3,120
3,0.01670007407665252,0.01898773461580276,0.02322984039491448,0.02347775049851854,selu,8,8,2,120
4,0.016223905980587,0.01859878599643707,0.02340916412313868,0.02364855151230506,relu,4,8,2,120
5,0.01630784124135971,0.01872947812080383,0.02387342405535895,0.02412117439874734,tanh,8,4,3,120
6,0.017842063,0.019763330000000003,0.02446064494881156,0.02470323723705542,selu,4,2,2,120
7,0.017115841805934902,0.01942136734724044,0.02480162351784351,0.02514134739909198,selu,8,2,2,120
8,0.018827428,0.020889944,0.02543412738425584,0.02566721470039745,tanh,8,2,2,120
9,0.0170161023736,0.01928531378507614,0.025674852194987052,0.025925682237577158,relu,8,2,2,120
10,0.01663751751184463,0.01892056912183761,0.02582049320729224,0.02606219419528364,tanh,16,4,2,120
11,0.016521427035331722,0.01889970600605011,0.026185093598555732,0.026420871036701,selu,8,2,3,120
12,0.01668587177991867,0.01911796480417251,0.026301574922725952,0.02654534942179737,relu,8,4,3,120
13,0.01672602444887161,0.01906407624483108,0.02692451217046754,0.02716571258229226,relu,16,8,2,120
14,0.01713805049657821,0.01965388804674148,0.027173174998501408,0.02743835403520416,selu,4,8,3,120
15,0.016376140713691707,0.01872624903917312,0.02738830439033002,0.027627319093316997,selu,4,4,2,120
16,0.01961338520050048,0.021277803182601928,0.02746188044938803,0.02769955669480244,relu,16,4,3,120
17,0.01664839833974838,0.01898147463798523,0.02756593210076468,0.02780236188033932,tanh,8,4,2,120
18,0.01815749406814575,0.02101774960756302,0.02770256937500038,0.028050852164600522,relu,16,2,3,120
19,0.01685965806245803,0.01922114491462707,0.027720863418574437,0.02796226483723372,selu,16,4,2,120
20,0.01860206723213195,0.02048753350973129,0.02773121144871355,0.02796849258468333,selu,8,4,3,120
21,0.016721105575561522,0.0190830111503601,0.027793087121206272,0.028034958722908336,tanh,4,8,3,120
22,0.01704595983028412,0.01935458928346634,0.02779428706776512,0.028036643107994707,relu,8,4,2,120
23,0.0168939396739006,0.01923485994338989,0.02784157854736135,0.028082842880005298,relu,4,8,3,120
24,0.01662087440490722,0.01896594315767288,0.02788618445422354,0.028127005214913646,tanh,4,2,3,120
25,0.01753553301095962,0.01975449323654174,0.02789829155050743,0.0281371975340134,tanh,16,8,2,120
26,0.01696218103170395,0.019284430146217342,0.0280650305365508,0.028303192154541728,relu,16,4,2,120
27,0.01708805114030838,0.01947258859872818,0.028114342680682407,0.02835817858195151,selu,16,2,3,120
28,0.01703961938619613,0.01936121731996536,0.02815039510926785,0.02839010396827174,relu,16,2,2,120
29,0.01711959987878799,0.01943054795265197,0.028202962420538342,0.02844197230553912,tanh,16,2,3,120
30,0.01711406707763672,0.01942294389009475,0.02821702507772702,0.028456414181906493,tanh,16,4,3,120
31,0.016995321214199062,0.019326990842819212,0.02827390531203742,0.0285115653469175,tanh,16,8,3,120
32,0.01733923554420471,0.01975741237401962,0.02830829040379368,0.02855255468097887,selu,16,4,3,120
33,0.01744271218776703,0.01979968845844268,0.02831777057992375,0.02856272159591582,selu,4,8,2,120
34,0.01707662045955658,0.01944378763437271,0.02832783315590599,0.02856869445438382,tanh,4,8,2,120
35,0.01702718436717987,0.01937920600175857,0.02833341512269507,0.02857317791769042,selu,16,8,3,120
36,0.0170264184474945,0.019378699362277978,0.02833350302311723,0.028573034882660397,relu,4,4,3,120
37,0.01703060418367386,0.01938262283802032,0.028334292568015517,0.028572892665797028,tanh,8,8,3,120
38,0.01707485020160675,0.01944533586502075,0.02833495928377252,0.028575731845888557,selu,8,8,3,120
39,0.01706665754318237,0.01943092495203018,0.02833731049299154,0.02857587217907024,selu,8,4,2,120
40,0.01703185439109802,0.01938367336988449,0.028337991516262317,0.0285773127107597,tanh,8,2,3,120
41,0.01804038435220718,0.02020776867866516,0.02834412128661596,0.02858457277566061,selu,16,8,2,120
42,0.01707295924425125,0.01942264139652252,0.02835067855271959,0.02858937411993735,relu,4,2,3,120
43,0.01717725396156311,0.01950916349887848,0.02836461595951146,0.02860453782360281,relu,4,4,2,120
44,0.017590159177780153,0.019882774353027342,0.028459191884388713,0.02870283421319315,tanh,4,4,3,120
45,0.01719198077917099,0.01960535198450088,0.02858928519666363,0.0288363377392148,relu,8,2,3,120
46,0.017339418828487392,0.01968671977519989,0.02860000431207483,0.02884146320573937,selu,4,4,3,120
47,0.01717025935649871,0.0195396140217781,0.02873688357595115,0.02897730933459559,tanh,16,2,2,120
48,0.01777183413505554,0.02018228024244308,0.0290478800998617,0.02928843519058838,tanh,4,2,2,120
49,0.017979775369167318,0.02070647478103637,0.029171547994355902,0.02941247253787922,selu,16,2,2,120
50,0.017499870061874388,0.01979340612888336,0.02922117159569525,0.029459809346800047,relu,16,8,3,120
51,0.01814164519309997,0.02041829079389572,0.02924284649850028,0.02948285760515988,relu,4,2,2,120
52,0.01805697083473205,0.02043494284152984,0.029404216331028223,0.02964639995713042,relu,8,8,3,120
53,0.01788619309663772,0.020218513906002038,0.029607478756286842,0.02984571445366509,tanh,4,4,2,120
