,mean_absolute_percentage_error_sample,rmspe_sample,mean_absolute_error_sample,mean_absolute_percentage_error,rmspe,mean_absolute_error,cnn_activatation,cnn_filters,cnn_kernel_size,cnn_pool_size,seq_len,epochs
0,0.013451595790684223,0.01653916761279106,0.015953801572322845,0.0035663206534711626,0.0120340798479909,0.003485179845622075,tanh,16,8,3,30,10
1,0.0162210650742054,0.019732242450118,0.0192233268171548,0.0039226455982107,0.012070958785003,0.0038364510252961,relu,8,8,3,30,10
2,0.0158192906528711,0.0233050528913736,0.018394386395812,0.0040396982681474,0.012922287186757,0.0039461422626668,selu,16,8,2,30,10
3,0.0156153691932559,0.0197139680385589,0.0182246807962656,0.0040727263614012,0.0127620611435934,0.0039761375214832,relu,16,8,3,30,10
4,0.0138660930097103,0.0178238563239574,0.0163681078702211,0.0050130064179782,0.0140457270168169,0.0049040051492963,tanh,8,8,3,30,10
5,0.0119539033621549,0.0148309329524636,0.0142503166571259,0.0055624180159415,0.0133617944563994,0.0054351740825281,selu,16,8,3,30,10
6,0.0126806776970624,0.016104681417346,0.0150467352941632,0.0060034881653717,0.0149532397516517,0.0058575367017006,selu,8,8,3,30,10
7,0.01606947183609,0.0206715930253267,0.0191136058419942,0.0060859941276336,0.0149136025910129,0.0059343957224922,tanh,8,8,2,30,10
8,0.020416424,0.026134102,0.023989227,0.0064399565358907,0.0150433275938675,0.0063049860670279,selu,8,8,2,30,10
9,0.0208253432065248,0.0247905906289815,0.0243831016123294,0.0081585805802395,0.0164003857814512,0.0079833265320758,tanh,16,8,2,30,10
10,0.0189485140144824,0.0247790422290563,0.0224072001874446,0.0115509957181942,0.0209176151996446,0.0113191871802119,relu,8,8,2,30,10
11,0.0316111706197261,0.0354321114718914,0.0366251170635223,0.0130695648826498,0.0219466201434575,0.012784007969583,relu,16,8,2,30,10
