Close  -- 0.9993489059458708
Close,impulse  -- 0.9980860994386592
Close,hour_0  -- 0.9979700249542404
Close,impulse,hour_0  -- 0.9967106867420709
Close,candle_body_size  -- 0.9888325005381042
Close,candle_body_size,impulse  -- 0.9875959579371568
Close,candle_body_size,hour_0  -- 0.9874803284353024
Close,candle_body_size,impulse,hour_0  -- 0.986247166485606
Close,vol_change_1  -- 0.9747320235005044
Close,candle_size  -- 0.9738953889309874
Close,vol_change_1,impulse  -- 0.9735289825573591
Close,vol_change_1,hour_0  -- 0.9734182501518401
Close,candle_size,hour_0  -- 0.9725190911347942
Close,candle_size,impulse  -- 0.9724463113919408
Close,vol_change_1,impulse,hour_0  -- 0.972218458255026
Close,candle_size,impulse,hour_0  -- 0.97111222248023
Close,roi_5  -- 0.9698774281799033
Close,roi_5,impulse  -- 0.9686813204106517
Close,roi_5,hour_0  -- 0.9685805657670294
Close,roi_5,impulse,hour_0  -- 0.9673876305665011
Close,candle_body_size,vol_change_1  -- 0.9647325103966501
Close,candle_body_size,candle_size  -- 0.9639171808491239
Close,vol_change_2  -- 0.9638514253266662
Close,candle_body_size,vol_change_1,impulse  -- 0.9635538708844978
Close,candle_body_size,vol_change_1,hour_0  -- 0.9634434681092264
Close,vol_change_2,impulse  -- 0.9626774254820375
Close,candle_body_size,candle_size,hour_0  -- 0.9625665607851113
Close,vol_change_2,hour_0  -- 0.9625548979914907
Close,candle_body_size,candle_size,impulse  -- 0.9624959444123267
Close,candle_body_size,vol_change_1,impulse,hour_0  -- 0.9622679982490997
Close,vol_change_2,impulse,hour_0  -- 0.9613840646404231
Close,candle_body_size,candle_size,impulse,hour_0  -- 0.9611866438351565
Close,roi_5,candle_body_size  -- 0.9597620920397092
Close,roi_10  -- 0.9591168738369342
Close,vol_change_3  -- 0.9589228451745433
Close,roi_5,candle_body_size,impulse  -- 0.9585936757599097
Close,roi_5,candle_body_size,hour_0  -- 0.9584905942529272
Close,roi_10,impulse  -- 0.9579238730802109
Close,roi_10,hour_0  -- 0.9578485156196725
Close,vol_change_3,impulse  -- 0.9577525593721167
Close,vol_change_3,hour_0  -- 0.9575717428534803
Close,roi_5,candle_body_size,impulse,hour_0  -- 0.9573252572834798
Close,roi_10,impulse,hour_0  -- 0.9566586792129657
Close,vol_change_3,impulse,hour_0  -- 0.9564055950709752
Close,candle_body_size,vol_change_2  -- 0.9540923482264079
Close,candle_body_size,vol_change_2,impulse  -- 0.9529418128829539
Close,candle_body_size,vol_change_2,hour_0  -- 0.9528196433271191
Close,candle_body_size,vol_change_2,impulse,hour_0  -- 0.9516722006598266
Close,vol_change_1,candle_size  -- 0.9505544205900706
Close,candle_body_size,vol_change_3  -- 0.9492715994812008
Close,vol_change_1,candle_size,hour_0  -- 0.94923944677363
Close,vol_change_1,candle_size,impulse  -- 0.9491646688567046
Close,roi_10,candle_body_size  -- 0.94915117934971
Close,candle_body_size,vol_change_3,impulse  -- 0.9481244678453653
Close,roi_10,candle_body_size,impulse  -- 0.9479917971879096
Close,candle_body_size,vol_change_3,hour_0  -- 0.9479445095442113
Close,roi_10,candle_body_size,hour_0  -- 0.9479077235737905
Close,vol_change_1,candle_size,impulse,hour_0  -- 0.94789074875284
Close,candle_body_size,vol_change_3,impulse,hour_0  -- 0.9468014301205274
Close,roi_10,candle_body_size,impulse,hour_0  -- 0.9467513769340142
Close,roi_5,vol_change_1  -- 0.9467466739823399
Close,roi_5,candle_size  -- 0.9459562106624737
Close,roi_5,vol_change_1,impulse  -- 0.9456049669421049
Close,roi_5,vol_change_1,hour_0  -- 0.9455089510418653
Close,roi_5,candle_size,hour_0  -- 0.944656947197097
Close,roi_5,candle_size,impulse  -- 0.9445722122106368
Close,roi_20  -- 0.9443848091650727
Close,roi_5,vol_change_1,impulse,hour_0  -- 0.9443702259633788
Close,roi_5,candle_size,impulse,hour_0  -- 0.9433140096697917
Close,roi_20,impulse  -- 0.9432075155442368
Close,roi_20,hour_0  -- 0.9431432813007179
Close,roi_20,impulse,hour_0  -- 0.9419695063154163
Close,candle_body_size,vol_change_1,candle_size  -- 0.9410538061819681
Close,vol_change_1,vol_change_2  -- 0.9406488757230621
Close,vol_change_2,candle_size  -- 0.9402641887971825
Close,candle_body_size,vol_change_1,candle_size,hour_0  -- 0.9397627063589955
Close,candle_body_size,vol_change_1,candle_size,impulse  -- 0.9396901321391641
Close,vol_change_1,vol_change_2,impulse  -- 0.9395301181785393
Close,vol_change_1,vol_change_2,hour_0  -- 0.9394175756609798
Close,vol_change_2,candle_size,hour_0  -- 0.9389632900604996
Close,vol_change_2,candle_size,impulse  -- 0.938898446252225
Close,candle_body_size,vol_change_1,candle_size,impulse,hour_0  -- 0.9384392305006618
Close,vol_change_1,vol_change_2,impulse,hour_0  -- 0.938301750121616
